Text	Channel
UK records over 5,000 #coronavirus deaths: news agency AFP. #CoronavirusPandemic #COVID19'	NDTV
Two-week extension of lockdown in Mumbai, Pune and wherever there are large number of #COVID19 cases may be needed:	NDTV
India likely to clear key drug hydroxychloroquine export amid global pressure 	NDTV
Make graded plan to open departments in non-hotspot areas: PM to cabinet 	NDTV
"""IT Cell\'s Fake News"": Mamata Banerjee On BJP\'s COVID-19 Figures Charge "	NDTV
Create healthy space for medical workers, AIIMS doctors urge centre 	NDTV
"""Save lives now, can save economy later"": Telangana wants longer lockdown "	NDTV
RT @Sports_NDTV: #PullelaGopichand, Indian badminton team's chief coach, donated Rs 26 lakh with 15 lakh to PM-CARES fund while Rs 5 lakh e	NDTV
Top stories now on 	NDTV
"""No option but to continue lockdown. We need to save lives, later we can save the economy"": Telangana Chief Ministe"	NDTV
RT @Sports_NDTV: #PepGuardiola's 82-year-old mother has died after contracting coronavirus, Manchester City announced on Monday'#Coronavi	NDTV
Telengana Chief Minister K Chandrasekhar Rao appeals to PM Modi to extend #COVID19 lockdown.#CoronavirusOutbreak	NDTV
"Shut BJP\'s ""vanity projects"": Karti Chidambaram after MP fund scrapped "	NDTV
Air India to help stranded Canadians get home amid #COVID19 shutdown 	NDTV
#Watch | A glimpse of how Bengaluru looks amid #CoronavirusLockdown#COVID19 #CoronavirusPandemic #CoronavirusIndia 	NDTV
Two more #COVID19 cases detected in Surat. Total number of cases in state rises to 146. 87 cases are of local trans	NDTV
Top stories now on 	NDTV
"Watch | BJP leader fires shot at 9 pm event to ""send #coronavirus away""#CoronavirusPandemic #COVID19 Read here:"	NDTV
With 120 fresh #coronavirus cases in #Maharashtra, total rises to 868: Officials #CoronavirusPandemic #COVID19 #CoronavirusIndia'	NDTV
Mamata Banerjee says will involve Nobel laureate Abhijit Banerjee for post-#COVID19 plans 	NDTV
How Shashi Tharoor spent his MP funds just before centre scrapped it 	NDTV
Gaganyaan astronauts' training in Russia on hold amid lockdown: report 	NDTV
#Watch | Will #CoronavirusLockdown end on April 14? What Minister Prakash Javadekar said after Union Cabinet meet.	NDTV
Resident doctors of government hospital in Aurangabad protest, demand N95 masks 	NDTV
"#Watch | ""India will have to think about packages which are more focussed on job retention"": Piyush Gupta, CEO, DBS"	NDTV
Watch | The West Bengal government's #coronavirus figures have triggered a political war between Chief Minister Mam	NDTV
"#Watch | ""What started off as a sectoral demand shock in areas like tourism and retail has escalated to broad destr"	NDTV
Over 50 attended funeral of Tamil Nadu #COVID19 victim amid #CoronavirusLockdown 	NDTV
Top stories now on 	NDTV
2.5-year-old son of Lucknow's first #COVID19 patient tests positive 	NDTV
Worldwide #coronavirus death count crosses 70,000 	NDTV
Inspired by South Korea, walk-in #COVID19 test kiosks built in Kerala 	NDTV
In fatal hand-to-hand combat, special forces kill 5 Pak terrorists 	NDTV
RT @Gadgets360: Foxconn, a key supplier of Apple's products, reported a drop in sales during March amid  the #COVID19 pandemic 	NDTV
"""Balcony government only for balcony people"": Kamal Haasan\'s letter to PM"	NDTV
Japan plans to declare state of emergency by tomorrow: Shinzo Abe 	NDTV
Who cleared Delhi mosque event, asks Sharad Pawar on Facebook live 	NDTV
"IT cell\'s fake news"": Mamata Banerjee on BJP\'s #COVID19 figures charge"	NDTV
RT @Gadgets360: OnePlus may launch a new pair of Bluetooth earphones with 20-hour battery life	NDTV
"Rahul Gandhi tweets pic of 2 boys with message on ""unity"" amid #COVID19 "	NDTV
Will Lockdown End On April 14? What Minister Prakash Javadekar Said After Cabinet Meet 	NDTV
Woman cop defers marriage to help migrant workers amid #COVID19 outbreak 	NDTV
Supreme Court issues guidelines for court's functioning amid #COVID19 crisis	NDTV
Spain's #COVID19 deaths down for 4th day, 637 fatalities in last 24 hours 	NDTV
"Video: BJP leader fires shot at 9 pm event to ""send #coronavirus away"" "	NDTV
#TestMoreSaveIndia: Priyanka Gandhi wants people to demand large-scale testing 	NDTV
RT @Sports_NDTV: The BWF froze the world rankings and world junior rankings until further notice, with the lists backdated to March 17, 202	NDTV
12 Jamaat members, their 52 primary contacts report to police in Himachal Pradesh 	NDTV
Watch: 5-star hotel staff's big welcome for doctors fighting #COVID19 	NDTV
266 #COVID19 positive cases detected till 9 am. 243 out of them are linked to #TablighiJamaat and their contacts: A	NDTV
RT @Gadgets360: The Vu Premium 4K TV is affordable at a starting price of Rs. 24,999, and comes packed with features such as Android TV and	NDTV
Andhra Pradesh Chief Minister Jagan Reddy reviewed #COVID19 situation in state. (ANI)#CoronavirusOutbreak	NDTV
RT @Sports_NDTV: Sushil Kumar allayed any retirement talks and said the Olympics getting delayed by a year only gives him more time to prep	NDTV
Top stories now on 	NDTV
#COVID19 update from #Delhi	NDTV
#Watch | Salaries of central ministers and MPs - starting with PM Modi -- will be slashed by 30% for the coming yea	NDTV
Mumbai Wockhardt Hospital Cordoned Off As 26 Nurses, 3 Doctors Test COVID-19 +ve 	NDTV
"#Watch | ""27,000 Personal Protective Equipment (PPE) kits have been allocated by the Central government"": Delhi CM"	NDTV
"#Watch | ""We have placed order for 1 lakh #coronavirustesting kits which will available from Friday"": Delhi CM Kejr"	NDTV
"#Watch | ""Number of #COVID19 cases in Delhi now is 523, of which 330 are related to #Nizamuddin Markaz"": CM Arvind"	NDTV
Over 25,500 Linked To Delhi Sect Event Quarantined, Says Centre 	NDTV
RT @Gadgets360: Here's how Wikipedia plans to fight fake news around the #COVID19 outbreak in India	NDTV
RT @CricketNDTV: #JockEdwards managed to score 377 runs in the eight Test matches he played, and in the ODI format, he played 6 ODIS and sc	NDTV
"Video: BJP Leader Fires Shot At 9 pm Event To ""Send Coronavirus Away"" "	NDTV
RT @Gadgets360: Netflix will release the trailer for Extraction, the Chris Hemsworth-led action thriller movie, tomorrow. The movie is set	NDTV
RT @Gadgets360: 	NDTV
RT @Sports_NDTV: Mark Cavendish says he has successfully come through a two-year battle with clinical depression revealing on Monday he was	NDTV
Top stories now on 	NDTV
West Bengal to form policy making body for #COVID19 response; Nobel laureate Abhijit Banerjee to be engaged: CM Mam	NDTV
#COVID2019 | Here are the latest updates.#CoronaOutbreak  #CoronavirusPandemic 	NDTV
#Watch | Lav Agarwal, Joint Secretary, Health Ministry on identifying #coronavirus hotspots.#CoronavirusPandemic	NDTV
"#Watch | ""Limited evidence on the efficacy of hydroxychloroquine to deal with #COVID19, not enough proof to advise"	NDTV
RT @Gadgets360: Irrfan Khan starrer Angrezi Medium is now streaming on Disney+ Hotstar in India	NDTV
RT @Gadgets360: Infinix Note 7 and Infinix Note 7 Lite have been listed on the company's website ahead of launch	NDTV
"#Watch | ""We have quarantined over 25,000 local #TablighiJamaat workers and those who have come in contact with the"	NDTV
Union Minister Prakash Javadekar on lifting #CoronavirusLockdown. #CoronavirusPandemic #CoronavirusOutbreak 	NDTV
"#Watch | ""Young people with comorbidity are also at risk"": Lav Aggarwal, Joint Secretary, Health Ministry."	NDTV
"#Watch | ""47% of #coronavirus cases in India are reported among those under 40"": Lav Aggarwal, Joint Secretary, Hea"	NDTV
#Coronavirus 	NDTV
#Watch | 693 new #coronavirus cases reported since Sunday: Health Ministry. #CoronavirusOutbreak #COVID19 	NDTV
In a first, cabinet meeting was held over video conference. Key points of what PM Modi told his ministers.	NDTV
"#Watch | ""In the last 13 days, Indian Railways transported sugar through 1340 wagons, salt through 958 wagons and e"	NDTV
Top stories now on 	NDTV
RT @Gadgets360: Quibi is a new mobile-only streaming service that offers bite-sized content, but costs more than Netflix. Should you sign u	NDTV
#COVID19 #CoronavirusOutbreak #CoronavirusPandemic 	NDTV
"Coronavirus COVID-19 Delhi - ""Money Isn\'t The Problem"": Arvind Kejriwal On Gautam Gambhir\'s Offer"	NDTV
RT @Sports_NDTV: Nigel Benn is not the first from the sport in Britain to lose a relative due to the #coronavirus. The grandmother and fath	NDTV
"#Watch | ""There will be a 30% cut in the salaries of Prime Minister, Ministers, MPs for the whole year of 2021"": Un"	NDTV
"#Watch | ""President, Vice President, Governors have also voluntarily decided to take 30% pay cut in their salaries"""	NDTV
RT @Gadgets360: Honor Teases Key Specifications of Honor Play 4T Series Ahead of Launch	NDTV
President, Vice President, Governors, MPs and ministers have voluntarily decided to take 30% pay cut for a year fro	NDTV
#Coronavirus 	NDTV
RT @CricketNDTV: Sri Lanka head coach Mickey Arthur said the players have been given tailor-made programmes while they wait to see if key t	NDTV
Case will be filed against #TablighiJamaat attendees from #Assam who fail to report for testing by today: State min	NDTV
RT @Gadgets360: Vivo has launched the global variant of its V19 smartphone. The phone's India launch was postponed due to the ongoing #coro	NDTV
RT @Gadgets360: Using Zoom for your virtual meetings? This handy guide will tell you everything you need to know: 	NDTV
Use technology: Supreme Court's message to lower courts on #COVID19 	NDTV
Russia's #coronavirus cases jump by almost 1,000 in one day 	NDTV
Siddaramaiah asks BS Yediyurappa for special package to those hit by lockdown 	NDTV
"""Figures tell truth"": RSS leader on #coronavirus cases after Delhi mosque event "	NDTV
RT @Gadgets360: A fresh leak suggests that the upcoming iQoo Neo 3 may feature a 6.6-inch display with 120Hz refresh rate 	NDTV
US announces $2.9 million for India to tackle #CoronavirusPandemic 	NDTV
"""We were simply abandoned"": hidden death count in Italy\'s #Covid_19 crisis"	NDTV
RT @CricketNDTV: With the #IPL also held up by the #coronaviruspandemic, the cricketers are using social media to keep the competitive spir	NDTV
Top stories now on 	NDTV
"#CoronavirusPandemic ""opportunity to unite as one people, putting aside differences of religion, caste and class"" t"	NDTV
RT @Gadgets360: A 'reimagined' E3 2021 is likely to kick off from June 15 next year	NDTV
"""Be over-prepared"": Top bureaucrat gives states mantra to tackle #COVID-19"	NDTV
RT @Gadgets360: Google Maps now lists public food and night shelters across 30 Indian cities, in an attempt to help citizens during the #Co	NDTV
Central Zoo Authority issues measures to be taken by zoos across the country after a tiger tests positive for	NDTV
Anurag Srivastava takes charge as MEA spokesperson	NDTV
#Blog | Why India follows Modi's call for thali-banging, diyas - by Aunindyo Chakravarty (@AunindyoC)	NDTV
RT @CricketNDTV: #ShaneWarne and #SachinTendulkar have fought many battles on the cricket field and the Australian leg-spinner brought one	NDTV
"#CoronavirusDelhi - ""Money isn\'t the problem"": Arvind Kejriwal on Gautam Gambhir\'s offer"	NDTV
PM chairs a meeting of Council of Ministers via video conferencing. Home Minister Amit Shah and Defence Minister	NDTV
#Opinion | No excuses, please, for what happened at Nizamuddin Markaz - by Javed M. Ansari (@javedmansari)	NDTV
RT @carandbike: #KTM will not be participating in #Intermot2020 &amp; #EICMA2020 motorcycle shows. Here's Why -@India_KTM	NDTV
RT @CricketNDTV: #HarbhajanSingh was unhappy after a video showed a major fire erupting after firecrackers were burst around 9 pm on Sunday	NDTV
RT @Gadgets360: New Oppo Audio Product to Be Unveiled on April 7, Teaser Reveals 	NDTV
Top stories now on 	NDTV
Highlights: #IndiaAgainstCOVID19 2-hour special telethon in partnership with @DettolIndia.More here:	NDTV
"""He\'s doing well"": UK PM Boris Johnson still in hospital with #coronavirus"	NDTV
Zoos to be on high alert after tiger tests positive for #coronavirus in US	NDTV
RT @Gadgets360: While the work-from-home culture has boosted demand for Samsung's memory chips, the company still expects a flat first quar	NDTV
Fact-checked: Viral video claims to show whales at Bombay High. Is it true?	NDTV
"BJP Foundation Day: ""Maturity Showed By Public During Lockdown Unprecedented"": PM Modi "	NDTV
Japan prepares for state of emergency to tackle #CoronavirusPandemic	NDTV
3.1 magnitude earthquake hits Chamba in Himachal Pradesh, eighth in 11 days	NDTV
RT @CricketNDTV: #GlennMaxwell took a dig at the slew of home videos flooding social media as people try to come to terms with staying at h	NDTV
Mumbai's Wockhardt hospital shuts, 26 nurses, 3 doctors test positive for #Covid_19 	NDTV
UGC directs all universities, colleges to set up mental health helplines to address psycho-social concerns of stude	NDTV
RT @carandbike: The Reversing Bridge or Amrutanjan Bridge on the Mumbai-Pune Expressway was demolished on March 5. Here's Why	NDTV
Top stories now on 	NDTV
RT @Gadgets360: iOS 14 may finally bring home screen widgets on your iPhone	NDTV
"RT @Sports_NDTV: Vijender Singh said, ""Obviously, I am at a loss but there is nothing that can be done. So, you just make peace with it and"	NDTV
#Coronavirus #WockhardtHospital #Mumbai 	NDTV
#WockhardtHospital #Mumbai #CoronavirusPandemic 	NDTV
Haryana man uses bedsheet to escape from hospital isolation, falls, dies	NDTV
"UK PM Boris Johnson ""still in charge"" while in hospital with #coronavirus"	NDTV
RT @Gadgets360: Apple's iPhone 12 Pro Max and iPhone 12 Pro may feature a LiDAR sensor, similar to the one we saw on the iPad Pro 2020  ht	NDTV
RT @NDTVProfit: India's Services Activity Hits 5-Month Low Amid Coronavirus Crisis: Survey	NDTV
"China must tell ""raw truth"", says Indian-American who survived #COVID-19"	NDTV
RT @Gadgets360: Vivo has launched a new smartphone, the Vivo Y50, with a quad rear camera setup and a large 5,000mAh battery 	NDTV
RT @Gadgets360: Microsoft Edge is now the second most popular desktop web browser, according to a report 	NDTV
"""Come out in 24 hours"": Uttarakhand top cop to mosque event participants"	NDTV
Power demand declined on Sunday but frequency was maintained: Centre	NDTV
Cops wear #coronavirus-themed dresses to create awareness in Surat	NDTV
"""Lit 2 diyas, will light 7 more when..."": Congress leader tweets video"	NDTV
Mantra today for the whole world is social distancing and discipline: PM Modi's advice amid #coronaviruspandemic	NDTV
"#Watch | ""Donate in PM-CARES Fund"": PM Modi#CoronavirusOutbreak #CoronavirusPandemic #Covid_19 "	NDTV
"#Watch | ""Download and install Aarogya Setu App"": PM Modi#CoronavirusOutbreak #CoronavirusPandemic #Covid_19 "	NDTV
"#Watch | ""We should be thankful towards all those who are working during this time"": PM Modi#CoronavirusOutbreak"	NDTV
"#Watch | ""Request each worker to feed the poor"": PM Modi#CoronavirusOutbreak #CoronavirusPandemic #Covid_19 "	NDTV
"""It is going to be a long haul. We cannot get tired in this war"": PM Modi #BjpFoundationDay  #CoronavirusOutbreak "	NDTV
RT @Gadgets360: Oppo A12e was briefly listed on the company's official website ahead of a formal launch	NDTV
RT @Sports_NDTV: In the viral video, the dog plays the role of setter perfectly in a game of two-a-side volleyball	NDTV
RT @Gadgets360: Quibi, a mobile-only video streaming service, is now available in India. The service offers bite-sized original content and	NDTV
#CoronavirusPandemic | Our country's work is being appreciated not just by Indians but also WHO: PM Modi	NDTV
"#Watch | ""There is a long way to go in this battle but we have to win it"": PM Modi#CoronavirusOutbreak"	NDTV
Maturity shown by people in this #CoronavirusLockdown unprecedented: PM Modi  #BjpFoundationDay	NDTV
"#Watch | ""People have followed this #lockdown with immense maturity and seriousness, it is commendable"": PM Modi"	NDTV
"#Watch | ""India\'s unity will help in winning this battle against #coronavirus"": PM Modi#CoronavirusOutbreak"	NDTV
Top stories now on 	NDTV
"#Watch | ""WHO has praised India\'s holistic approach in containing #coronavirus spread"": PM Modi"	NDTV
"#Watch | ""India\'s efforts in battle against #coronavirus have set an example for other countries"": PM Modi"	NDTV
Watch live: PM Modi's message for party workers on BJP's foundation day 	NDTV
RT @CricketNDTV: #SachinTendulkar said his suggestion that #MSDhoni go in to bat ahead of #YuvrajSingh became a tactical masterstroke for I	NDTV
In fight against #COVID-19, Indian-Americans light lamps on PM's appeal	NDTV
RT @carandbike: West Texas Intermediate (WTI) crude fell $1.66, or 5.9%, to $26.68 a barrel, after earlier touching a low of $25.28. Brent	NDTV
RT @Gadgets360: Netflix has released a trailer for Kanan Gill's upcoming stand-up special titled 'Yours Sincerely, Kanan Gill' 	NDTV
50 people, including doctors, quarantined as Bikaner woman tests positive for #coronavirus after death	NDTV
"""No coercion"": centre on schools\' message to parents over lighting diyas"	NDTV
"""Faithfully"" completed duties, says US intelligence official fired by Trump"	NDTV
RT @moviesndtv: Singer Kanika Kapoor Discharged From Hospital After Testing Negative For Coronavirus In Sixth Attempt 	NDTV
"Tunnel at agriculture market in Karnataka to ""disinfect bacteria of body"""	NDTV
Top stories now on 	NDTV
RT @Gadgets360: Apple is making fully adjustable face shields for medical workers fighting the #coronaviruspandemic in the US 	NDTV
RT @Gadgets360: 5G cell towers are being vandalized in the UK, as people fall for a conspiracy theory that blames 5G for the #COVID19 outbr	NDTV
RT @Sports_NDTV: The 2020 #F1 world championship has been unable to start with eight races of a scheduled 22 already either scrapped or pos	NDTV
Tension, mistrust in Dharavi, Asia's largest slum, after 5 #Covid_19 cases	NDTV
Give up one meal to mark BJP foundation day: JP Nadda to party workers	NDTV
PM Modi greets people on #MahavirJayanti2020 	NDTV
RT @Gadgets360: While the #COVID19 outbreak has shut down most non-essential factories in Silicon Valley, here's one that's still running	NDTV
#Watch | In Mizoram, gospel songs, dance on balconies amid #lockdownRead more here: 	NDTV
"""Greatest emergency since independence"": Raghuram Rajan on #COVID-19"	NDTV
"PM to address BJP workers today, on party's 40th foundation day: news agency ANI #BjpFoundationDay"""	NDTV
RT @NDTVProfit: Financial Markets Shut For Mahavir Jayanti Holiday	NDTV
Banned since #lockdown, fish sale to begin in Goa from Monday	NDTV
Top stories now on 	NDTV
"""India enters crucial 2-week period today"": P Chidambaram on #COVID-19"	NDTV
#Coronavirus deaths cross 100 in India, 32 in 24 hours, highest so far	NDTV
Madhya Pradesh woman dies after hospital staff fails to find ICU key 	NDTV
Man faces social boycott over #coronavirus, ends life #CoronavirusOutbreak #CoronavirusPandemic #coronavirusindia 	NDTV
RT @Sports_NDTV: #BayernMunich said that the training will be held in private with no members of the public allowed	NDTV
#covid19 #CoronavirusPandemic #CoronavirusUpdate 	NDTV
#Coronavirus 	NDTV
RT @Gadgets360: Here's how you can stay safe during your Zoom video calls 	NDTV
RT @carandbike: Honda Motor Co has extended the suspension all U.S. and Canadian auto plant production till April 10. More Details Here.@H	NDTV
On BJP's 40th foundation day, PM's message to party workers on #COVID-19	NDTV
2 areas of Bhubaneswar sealed after 70-year-old man tests #COVID - 19 positive	NDTV
"""Pearl Harbor moment"": US health authorities stark warning for next week"	NDTV
"RT @Sports_NDTV: Reims club president Jean-Pierre Caillot said he was ""stunned"" by the death of the 60-year-old doctor, who had worked at t"	NDTV
Top stories now on 	NDTV
505 #coronavirus cases in India in 24 hours, 3,577 cases so far	NDTV
"""Global surge in domestic violence"": UN Chief amid #coronavirusLockdown"	NDTV
Top stories now on 	NDTV
British PM Boris Johnson Admitted To Hospital For COVID-19 Tests 	NDTV
"""COVID-19 Cases Doubling in 4.1 Days, Could Have been Slower"": Centre "	NDTV
Radiation Spike After Forest Fire Hits Chernobyl Nuclear Accident Zone 	NDTV
Flights Likely To Be Allowed In Staggered Manner After Lockdown: Report 	NDTV
India Lights Lamps To Show Unity In Fight Against COVID-19 	NDTV
Centre's Aggressive Containment Plan To Control Runaway COVID-19 Spread 	NDTV
1.67 million tested for #coronavirus in US, says Donald Trump	NDTV
"Trump ""hopeful and sure"" British PM will recover from #coronavirus"	NDTV
Maharashtra bans entry of people without masks to Mantralaya	NDTV
Maintain #SocialDistancing or face criminal action: Naveen Patnaik	NDTV
#CoronavirusLockdown: Delhi Police shifts 17 pregnant women to hospitals in city	NDTV
New York's Bronx zoo tiger tests positive for #coronavirus	NDTV
Irish PM to work for health service during #coronavirus crisis	NDTV
Queen Elizabeth II says collective effort will defeat #Covid_19	NDTV
British government warns of tougher social distancing measures	NDTV
British PM Boris Johnson admitted to hospital for #COVID-19 tests	NDTV
Italy starts to look ahead to 'phase two' as #COVID-19 death count slows	NDTV
"#Watch | ""Out of the 10 #COVID19 positive cases in the state, 8 have recovered"": Bhupesh Baghel, Chief Minister, Ch"	NDTV
German doctor writes to Meghalaya Chief Minister, expresses desire to help	NDTV
Formulate plan to avoid community transmission: top official to states	NDTV
"Donald Trump warns ""toughest week"" ahead as global #coronavirus deaths top 60,000"	NDTV
Over 1,000 attend tribal procession in Rajasthan amid lockdown. 	NDTV
Mumbai man claims #coronavirus as centre's conspiracy, arrested. 	NDTV
Railways develops low-cost ventilator ''Jeevan'', seeks top medical body's approval. 	NDTV
Air India issues warning to passengers of 4 flights with coronavirus cases. 	NDTV
Ad seeks Rs 30,000 crore for #StatueOfUnity to fight #COVID19, case filed. 	NDTV
France reports 357 new #coronavirus hospital deaths, lower than the previous two days, total now 8,078: news agency	NDTV
India lights lamps to show unity in fight against #COVID19. Read more here: 	NDTV
Aerial view of #Delhi during PM Modi's lights-out call. #9baje9mintues #CoronavirusPandemic (Photo: @PIB_India) 	NDTV
"""Critical but stable"": Lokpal member tests positve for #coronavirus. "	NDTV
Assam: Earthquake tremors felt in Guwahati and other parts of the state.'	NDTV
Holding diya in hand, PM Modi's mother responds to lights-out call. 	NDTV
Radiation spike after forest fire hits Chernobyl nuclear accident zone	NDTV
Singers Bappi Lahiri and Sukhwinder Singh join NDTV-@DettolIndia's special 2-hour #IndiaAgainstCOVID19 telethon.	NDTV
Top stories now on 	NDTV
"#IndiaAgainstCOVID19 | ""Simplest thing you can do is wash our hands"": Gaurav Jain, Senior Vice President, South Asi"	NDTV
RT @CricketNDTV: Virat Kohli, Anushka Sharma participate in PM Narendra Modi's initiative#9pm9minutes #ViratKohli #AnushkaSharma #Coro	NDTV
"#IndiaAgainstCOVID19 | ""Hand-washing is very important, especially at a time like this"": KK Shailaja Teacher ("	NDTV
Pope opens holy week amid #CoronavirusPandemic; says now is the time to serve	NDTV
PM joins nation in showing unity amid #COVID-19 pandemic	NDTV
Film actors Rajinikanth, Akshay Kumar, Kriti Sanon and Anushka Sharma with husband Virat Kohli lit candles at their	NDTV
"#IndiaAgainstCOVID19 | ""Hand-washing is very important, especially at a time like this"": Parameswaran Iyer, Secreta"	NDTV
New York gets ventilators from China to cope with #coronavirus	NDTV
Maharashtra BJP MLA defies #lockdown, distributes ration to people on his birthday	NDTV
Flights likely to be allowed in staggered manner after #lockdown: Report	NDTV
Centre considering another package to minimise #lockdown impact: Report	NDTV
Uttar Pradesh Chief Minister Yogi Adityanath light lamps on PM Modi's appeal switch off the lights in the house in	NDTV
"#IndiaAgainstCOVID19 | ""We are trying to bring everyone together - people of parties, all religions"": Rajasthan CM"	NDTV
RT @CricketNDTV: #YuzvendraChahal said like in chess, there is a lot of planning a bowler does in cricket, adding he does discuss with the	NDTV
"#Watch | ""Those who are delivering are the real heroes"": Gaurav Gupta, COO and Co-Founder, Zomato"	NDTV
Cleaner river water, better air quality - positive effects of #lockdown	NDTV
"""#COVID-19 cases doubling in 4.1 days, could have been slower"": Centre"	NDTV
Mumbai's Siddhi Vinayak lit up with lamps on PM Modi's #9pm9minute appeal amid #Coronaviruslockdown	NDTV
#IndiaAgainstCOVID19 | Chief Minister @bhupeshbaghel on steps taken by Chhattisgarh to control spread of	NDTV
#Watch | Railway Protection Force lights 1100 lamps outside New Delhi railway station on PM Modi's #9pm9minute appe	NDTV
Top stories now on 	NDTV
@DettolIndia #IndiaAgainstCOVID19 | Reckitt Benckiser CEO Laxman Narasimhan  on importance of delivery services ami	NDTV
"Watch | PM Modi lights a lamp in show of solidarity to end the ""darkness"" of #coronavirus.More here:"	NDTV
President Ram Nath Kovind with the First Lady and members of his family lights candles expressing his gratitude tow	NDTV
Nine-minute lights-out event went smoothly; no impact on electricity grid functioning: Power Minister R K Singh (ne	NDTV
PM Modi lights a lamp to show unity in fight against #CoronavirusPandemic. More here: 	NDTV
Finance Minister Nirmala Sitharaman lights lamps at her residence on PM Modi's #9pm9minute appeal amid	NDTV
